epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,247.159,1.45713,1.83545,1.18256,0.45059,0.29833,0.28564,0.17375,1.13711,0.83075,1.00688,0.000275803,0.000275803,0.000275803
2,492.662,1.20116,0.90269,1.03634,0.5482,0.316,0.33773,0.21245,1.08885,0.75335,0.99339,0.000498676,0.000498676,0.000498676
3,739.005,1.16061,0.82163,1.01609,0.59396,0.36058,0.3716,0.22828,1.07012,0.71313,0.98349,0.000666571,0.000666571,0.000666571
4,984.354,1.12499,0.76191,1.00135,0.60781,0.36625,0.37641,0.23848,1.05733,0.68588,0.97579,0.000585599,0.000585599,0.000585599
5,1203.69,1.10026,0.72281,0.99491,0.59729,0.36902,0.40237,0.25772,1.03093,0.6563,0.9639,0.000503132,0.000503132,0.000503132
6,1421.85,1.07765,0.68853,0.98373,0.57478,0.38666,0.40972,0.26871,0.98271,0.64473,0.94612,0.000420665,0.000420665,0.000420665
7,1640.86,1.03939,0.65642,0.97126,0.69641,0.38905,0.44207,0.28657,0.97431,0.61464,0.94488,0.000338198,0.000338198,0.000338198
8,1860.14,1.01678,0.628,0.956,0.67673,0.38591,0.44441,0.28969,0.95711,0.60489,0.93765,0.000255731,0.000255731,0.000255731
9,2078.49,0.99278,0.6087,0.95002,0.71423,0.40101,0.46229,0.30508,0.93441,0.58324,0.93465,0.000173264,0.000173264,0.000173264
10,2297.19,0.97218,0.58783,0.94277,0.70115,0.42088,0.47162,0.31162,0.92774,0.56856,0.93093,9.0797e-05,9.0797e-05,9.0797e-05
